#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.751473
9.0,9,2.753171
10.0,10,2.754535
10.0,10,2.75635
9.0,9,2.757661
8.0,8,2.758939
10.0,10,2.760349
10.0,10,2.762089
10.0,10,2.763479
8.0,8,2.764798
9.0,9,2.76653
10.0,10,2.767893
10.0,10,2.769618
10.0,10,2.771027
10.0,10,2.772831
9.0,9,2.774167
10.0,10,2.775572
9.0,9,2.777291
9.0,9,2.778657
11.0,11,2.780523
10.0,10,2.78187
9.0,9,2.783228
9.0,9,2.784989
9.0,9,2.786358
10.0,10,2.78776
8.0,8,2.789049
11.0,11,2.790889
12.0,12,2.792744
8.0,8,2.794029
10.0,10,2.795824
9.0,9,2.79721
9.0,9,2.798561
10.0,10,2.800314
10.0,10,2.801668
8.0,8,2.802979
11.0,11,2.804841
12.0,12,2.806666
9.0,9,2.808004
11.0,11,2.809868
9.0,9,2.81122
10.0,10,2.813006
10.0,10,2.814408
